GEOID,MedianIncome,PopulationPerHousingUnit,PopulationPerSqKm
01001020100,58625,2.4685494223363285,194.55943231886005
01001020200,43531,2.380281690140845,609.7977723250367
01001020300,51875,2.4881889763779528,646.2113397812194
01001020400,54050,2.0519550080342794,603.1500388377465
01001020500,72417,2.2020944741532977,862.1313149676696
01001020600,46688,2.6220806794055203,458.0075284722194
01001020700,42689,2.782458563535912,173.67188109915298
01001020801,79590,2.3088235294117645,21.350034756983096
01001020802,75793,2.7059235074626864,60.60369398502696
01001020900,62216,2.5894012944983817,21.819802505908225
01001021000,48469,1.905829596412556,6.565102365533107
01001021100,30048,1.6838193253287592,5.985372989193486
01003010100,41655,1.8719753629564453,4.217196516394831
01003010200,33953,2.4306969459671106,13.99091155322725
01003010300,62857,2.9214773432650527,25.718871020310793
01003010400,52538,2.2170616113744077,6.3085436406572395
01003010500,49236,2.7975334018499485,313.3695260493282
01003010600,30453,2.5087966220971145,191.49926921486644
01003010701,85344,2.391954022988506,51.013082962447676
01003010703,91015,2.821960561781813,137.50227825885975
01003010704,70188,2.782773308092759,681.9279232273531
01003010705,59601,2.150044130626655,487.34127606660167
01003010800,61650,2.3313452617627566,386.34870410219236
01003010903,53853,2.783173076923077,103.67068174467246
01003010904,52051,2.081967213114754,22.293965448856056
01003010905,47694,2.18567993588031,114.71617240646454
01003010906,44473,2.7535395909805978,132.69633323846827
01003011000,37014,2.375987361769352,34.37713241233292
01003011101,69884,2.6838413159167875,329.09498195709614
01003011102,64851,2.3324468085106385,97.36750891608843
01003011201,61795,2.036916835699797,404.3491146083836
01003011202,54314,1.9327108821635544,443.57377278785486
01003011300,77931,1.9551052840683354,68.39157940535954
01003011401,53149,2.0683525746747295,66.27515761763085
01003011403,48694,1.741602490578404,112.68317028233683
01003011405,84137,0.5687882496940024,139.25731991661792
01003011406,60061,0.41098434598036615,78.84111518732132
01003011407,47500,0.6639136805648062,105.12392104501025
01003011408,76250,0.22979985174203113,20.214007059054964
01003011501,43226,2.0991055456171734,151.759508003857
01003011502,43591,2.01891979301423,238.56406434655105
01003011601,52973,2.056915949702184,24.901628711104085
01003011602,48333,1.6791540785498489,48.847741782420904
01003990000,57129,2.355008952348972,834.0270294268518
01005950100,42857,1.8626097867001254,5.7753948880892665
01005950200,31642,2.9976303317535544,7.326184928183392
