"hazard","LM"
2.58769643552014e-06,0
3.76602217590492e-06,1
4.47438047136365e-06,2
5.89295802485017e-06,3
7.5500439203389e-06,4
9.20917149156892e-06,5
1.03957087335047e-05,6
1.20584756867473e-05,7
1.34856197834181e-05,8
1.42000352958425e-05,9
1.53921735973128e-05,10
1.5869709112766e-05,11
1.68258359298108e-05,12
1.7782904590512e-05,13
1.87409467754997e-05,14
1.89807254940889e-05,15
2.04209713590215e-05,16
2.18627172660703e-05,17
2.25843686075119e-05,18
2.30666700223371e-05,19
2.40326573239267e-05,20
2.54833117368401e-05,21
2.6209610444473e-05,22
2.69370036108578e-05,23
2.86358799733331e-05,24
2.91222032050467e-05,25
2.98525748172812e-05,26
3.00962814974491e-05,27
3.20474286355504e-05,28
3.27800208516457e-05,29
3.35132278518591e-05,30
3.37579317802879e-05,31
3.47377587285444e-05,32
3.62088938532761e-05,33
3.76815401949352e-05,34
3.84189181600657e-05,35
3.89111163568625e-05,36
3.9403751657843e-05,37
3.98970598878967e-05,38
4.03908400673852e-05,39
4.13793939114733e-05,40
4.18741639339613e-05,41
4.26173107400553e-05,42
4.38575138703469e-05,43
4.50989799817199e-05,44
4.63415693884178e-05,45
4.73365902879549e-05,46
4.80836942409166e-05,47
4.83329637077522e-05,48
4.93311548993798e-05,49
4.95809684542162e-05,50
5.00810026265023e-05,51
5.18330904644221e-05,52
5.28350740290022e-05,53
5.43421850109508e-05,54
5.55997127745723e-05,55
5.58515254535128e-05,56
5.78679176322767e-05,57
5.91294982843894e-05,58
6.08986331324405e-05,59
6.14047915180607e-05,60
6.14047915180607e-05,61
6.26724951819273e-05,62
6.31800906007331e-05,63
6.36882557508766e-05,64
6.57229420110505e-05,65
6.75048835190846e-05,66
6.75048835190846e-05,67
6.92908927165554e-05,68
7.03127253416443e-05,69
7.13361042115804e-05,70
7.21044799154041e-05,71
7.33863996818956e-05,72
7.44132320889383e-05,73
7.51845871671462e-05,74
7.67286668399816e-05,75
7.75013416085382e-05,76
7.8016835498452e-05,77
7.93065910126972e-05,78
8.08556871915775e-05,79
8.16313239254258e-05,80
8.31836932021577e-05,81
8.42197628985422e-05,82
8.47381700038893e-05,83
8.55163102543914e-05,84
8.60355543497646e-05,85
8.62954248837113e-05,86
8.78560677836825e-05,87
8.88974138423229e-05,88
8.96793865478057e-05,89
9.17665115581526e-05,90
