"ZIP","MedianIncome"
601,11507
602,15511
603,16681
606,11648
610,17751
612,17208
616,14490
617,15645
622,16784
623,17134
624,16764
627,17206
631,7948
637,14877
638,12486
641,16181
646,27967
647,13312
650,15807
652,19497
653,13175
656,14828
659,18480
660,20589
662,16291
664,15749
667,12736
669,12552
670,13209
674,18549
676,14149
677,17881
678,15208
680,14575
682,15804
683,15198
685,13840
687,17649
688,14697
690,20668
692,18593
693,17624
694,10550
698,14734
703,15276
704,14528
705,17893
707,18815
714,16538
715,12229
716,18595
717,11597
718,18906
719,19247
720,14845
723,13975
725,20072
727,30890
728,18099
729,20805
730,15046
731,16171
735,20204
736,20571
738,19809
739,21818
740,14500
741,20363
745,23344
751,16177
754,16927
757,15295
765,17604
766,18670
767,16342
769,18578
771,19982
772,15725
773,19658
775,20221
777,19249
778,31070
780,20985
782,12752
783,14465
784,15383
791,19269
794,14785
795,20459
901,16612
907,31836
909,16219
911,29325
912,20663
913,6989
915,13573
917,13913
918,21030
920,25591
921,18334
923,14631
924,18535
925,10247
926,32583
927,32083
934,66063
949,25226
952,16577
953,29793
956,22432
957,23886
959,28215
961,28203
962,15782
965,15274
966,50570
968,46047
969,53175
971,20860
976,30027
979,35251
982,25362
983,27612
985,24091
987,31758
1001,56714
1002,48923
1005,70568
1007,80502
1008,67250
1010,83273
1011,74722
1012,60417
1013,40876
1020,57851
1022,44701
1026,50924
1027,61217
1028,83003
1029,54375
1030,64874
1031,39327
1032,73750
1033,86951
1034,82159
1035,62634
1036,80375
1037,80417
1038,65887
1039,74107
1040,38829
1050,72386
1053,66528
1054,86771
1056,64537
1057,74439
1060,56128
1062,73913
1068,85052
1069,57994
1070,55208
1071,70938
1072,75658
1073,90318
1075,61821
1077,76576
1079,31778
1080,51023
1081,51182
1082,52178
1083,45954
1084,68750
1085,63283
1088,61875
1089,50649
1092,77150
1093,84167
1094,18454
1095,95679
1096,73589
1097,31250
1098,77083
1103,16760
1104,28590
1105,16455
1106,105822
1107,22956
1108,36890
1109,35076
1118,60295
1119,49083
1128,70078
1129,60776
1151,36541
1201,45893
1220,48422
1222,76944
1223,72981
1224,36324
1225,58145
1226,57202
1229,27083
1230,59702
1235,60718
1236,80385
1237,83311
1238,63109
1240,54250
1242,56840
1243,76250
1245,66136
1247,38007
1253,71010
1254,89583
1255,67333
1256,49000
1257,50688
1258,65739
1259,61125
1260,101979
1262,45500
1264,75417
1266,68542
1267,73085
1270,71250
1301,49024
1330,79118
1331,51750
