ZIP,MedianIncome
00601,11757
00602,16190
00603,16645
00606,13387
00610,18741
00612,17744
00616,14918
00617,17157
00622,16727
00623,16401
00624,16832
00627,17579
00631,9632
00637,15736
00638,14448
00641,16292
00646,29160
00647,13071
00650,16095
00652,20564
00653,12236
00656,14966
00659,17770
00660,19674
00662,16771
00664,15401
00667,13843
00669,12996
00670,14456
00674,18032
00676,13416
00677,18333
00678,15730
00680,14500
00682,15315
00683,15043
00685,14128
00687,18739
00688,15918
00690,18491
00692,18076
00693,18971
00694,14375
00698,14487
00703,16532
00704,13960
00705,18207
00707,17489
00714,15820
00715,12440
00716,18514
00717,11269
00718,18998
00719,18401
00720,14533
00723,14554
00725,20374
00727,30797
00728,18097
00729,20508
00730,15367
00731,16389
00735,18947
00736,20166
00738,19284
00739,20619
00740,12934
00741,22766
00745,22909
00751,16188
00754,18594
00757,16816
00765,16149
00766,19595
00767,15573
00769,19215
00771,20332
00772,15032
00773,19377
00775,23092
00777,18684
00778,32708
00780,21834
00782,13073
00783,14476
00784,15653
00786,
00791,18595
00794,15667
00795,20430
00901,16929
00906,101346
00907,32601
00909,17959
00911,30978
00912,21744
00913,5902
00915,14048
00917,15508
00918,23333
00920,25433
00921,18690
00923,14041
00924,19303
00925,9903
00926,33624
00927,32932
00934,
00936,
00949,26032
00950,
00951,
00952,15434
00953,29837
00956,23322
00957,24438
00959,29737
00960,
00961,28455
00962,16135
00965,15369
00966,51318
00968,45811
00969,51604
00971,20604
00976,30801
00979,34284
00982,25935
00983,27149
00985,24834
00987,32967
01001,57694
01002,52379
01003,2499
01005,70325
01007,86165
01008,62750
01009,59440
01010,86523
01011,75263
01012,70114
01013,39868
01020,58780
01022,43349
01026,51442
01027,63699
01028,85221
01029,50750
01030,71716
01031,41875
01032,78011
01033,89965
01034,87045
01035,58953
01036,81304
01037,92750
01038,67096
01039,80000
01040,37954
01050,68869
01053,62222
01054,87174
01056,67715
01057,78986
01060,57485
01062,73438
01063,
01066,
01068,85938
01069,59211
01070,57000
01071,67132
01072,72000
01073,89423
01074,61603
01075,66681
01077,76737
01079,27105
01080,49844
01081,50465
01082,51768
01083,65547
01084,90625
01085,62423
01086,
01088,51406
01089,51735
01092,75799
01093,103750
01094,21250
01095,104128
01096,77083
01097,
01098,76563
01103,16720
01104,30053
01105,17569
01106,111231
01107,26772
01108,38499
01109,35191
01118,61112
01119,47439
01128,65977
01129,63895
01151,40360
01199,
01201,47614
01220,49777
01222,74583
01223,77857
01224,38446
01225,61512
01226,61063
01229,29000
01230,65214
01235,63000
01236,57014
01237,84615
01238,67708
01240,68948
01242,81172
01243,71979
01244,55556
01245,69821
01247,40928
01253,74554
01254,92083
01255,68636
01256,55375
01257,59500
01258,57917
01259,62727
01260,112756
01262,36042
01264,80000
01266,74107
01267,78068
01270,80000
01301,48477
01330,74167
01331,53733
01337,66085
01338,57750
01339,55313
01340,53125
01341,101023
01342,106146
01343,85781
01344,70109
01346,60208
01347,52647
01349,61630
01350,31458
01351,82548
01354,69226
01355,70313
01360,69028
01364,43413
01366,65529
01367,55469
01368,72813
01370,54036
01373,74022
01375,54886
01376,43750
01378,57885
01379,43500
01420,51412
01430,85064
01431,95833
01432,79750
01434,50547
01436,60156
01438,74142
01440,48915
01450,123918
01451,143625
01452,93387
01453,57610
01460,119177
01462,97775
01463,90029
01464,67541
01467,98036
01468,64872
01469,84489
01473,100071
01474,84851
01475,64539
01501,74576
01503,97417
01504,80260
01505,97074
01506,64219
01507,93921
01510,68362
01515,80234
01516,94531
01518,58438
01519,106250
01520,99674
01521,78348
01522,104508
01523,104630
01524,64135
01525,
01527,74713
01529,90500
01531,84432
01532,111875
01534,89348
01535,73133
01536,105283
01537,74883
01540,68865
01541,128006
01542,1e+05
01543,100962
01545,101229
01550,50202
01560,85390
01561,
01562,65386
01564,102500
01566,95800
01568,119115
01569,94809
01570,52107
01571,64281
01581,107604
01583,73463
01585,66317
01588,66607
01590,101315
01602,64808
01603,42259
01604,50487
01605,37703
01606,65135
01607,43500
01608,20578
01609,42903
01610,31003
01611,81830
01612,95595
01701,105940
01702,52746
01718,160750
01719,101077
01720,133075
01721,120309
01730,125208
01731,93276
01740,151618
01741,170703
01742,137547
01745,123992
01746,118933
01747,101761
01748,151357
01749,83765
01752,75418
01754,95833
01756,125816
01757,75976
01760,106332
01770,170872
01772,143375
01773,153500
01775,144766
01776,170945
01778,166548
01801,84857
01803,99254
01810,143292
01821,99881
01824,115533
01826,86644
01827,138700
01830,61375
01832,64238
01833,113417
01834,95031
01835,77697
01840,20596
01841,38199
01843,46629
01844,73525
01845,105661
01850,46102
01851,52008
01852,50911
01854,40982
01860,84417
01862,93494
01863,77055
01864,124750
01867,113553
01876,94817
01879,101620
01880,93337
01886,138006
01887,118549
01890,152196
01901,22057
01902,42851
01904,88395
01905,57638
01906,82188
01907,105029
01908,81384
01913,78638
01915,77893
01921,155034
01922,87986
01923,79795
01929,109327
01930,65348
01937,
01938,80829
01940,113509
01944,105500
01945,110025
01949,107727
01950,89887
01951,90662
01952,72900
01960,65060
01966,72015
01969,89338
01970,65476
01982,112250
01983,131387
01984,96979
01985,135882
02019,95533
02021,96583
02025,140000
02026,89451
02030,204018
02032,120250
02035,98199
02038,111935
02043,125144
02045,80584
02047,26953
02048,111141
02050,92610
02052,153847
02053,115432
02054,100230
02056,139137
02061,128563
02062,87516
02066,114766
02067,133229
02071,115333
02072,78343
02081,105420
02090,146042
02093,107444
02108,126224
02109,129716
02110,108438
02111,39329
02113,91212
02114,89452
02115,38759
02116,103422
02118,70575
02119,30663
02120,32243
02121,27964
02122,56024
02124,50227
02125,53382
02126,50039
02127,91597
02128,52154
02129,103834
02130,84847
02131,72127
02132,93343
02134,49938
02135,61566
02136,64877
02138,87671
02139,91250
02140,91596
02141,77261
02142,120729
02143,90285
02144,102033
02145,68553
02148,62283
02149,57143
02150,51875
02151,53771
02152,69928
02155,86459
02163,64000
02169,67028
02170,82159
02171,78839
02176,93434
02180,90320
02184,88993
02186,126000
02188,81040
02189,58674
02190,85053
02191,73948
02199,82238
02203,
02210,170152
02215,43403
02301,47724
02302,63718
02322,69709
02324,88640
02330,73904
02332,123613
02333,86568
02338,77993
02339,111311
02341,96389
02343,67589
02346,79811
02347,97990
02351,91643
02356,113783
02357,
02359,101447
02360,83746
02364,89796
02366,
02367,87438
02368,70163
02370,77573
02375,94457
02379,85368
02382,79705
02420,168065
02421,158554
02445,111642
02446,102342
02451,94886
02452,87055
02453,73042
02457,
02458,103978
02459,169963
02460,118148
02461,159517
02462,104375
02464,102946
02465,137438
02466,115345
02467,119964
02468,212394
02472,92959
02474,104583
02476,101713
02478,118342
02481,187819
02482,160644
02492,147375
02493,196651
02494,126866
02532,75502
02534,88844
02535,79792
02536,67880
02537,95966
02538,67993
02539,75404
02540,70758
02542,48750
02543,92188
02553,
02554,92327
02556,83659
02557,66091
02558,33679
02559,71741
02561,
02562,86310
02563,84087
02564,
02568,48869
02571,59449
02575,92188
02576,84497
02584,
02601,46821
02630,106299
02631,69606
02632,80072
02633,76793
02635,62021
02637,142692
02638,70850
02639,44787
02641,
02642,62143
02643,
02644,92286
02645,78077
02646,62933
02647,
02648,82406
02649,73841
02650,77991
02651,
02652,60250
02653,61506
02655,75000
02657,47500
02659,57540
02660,54924
02663,61875
02664,56242
02666,63306
02667,57667
02668,94250
02669,89737
02670,63675
02671,60000
02672,
02673,70736
02675,68638
02702,94773
02703,70136
02713,
02715,98112
02717,81123
02718,93034
02719,62090
02720,47992
02721,33383
02723,37617
02724,37932
02725,70183
02726,75154
02738,76576
02739,85870
02740,37784
02743,69402
02744,33125
02745,56277
02746,32554
02747,75891
02748,70828
02760,85864
02762,93889
02763,106118
02764,82130
02766,102869
02767,93125
02769,96098
02770,102227
02771,86014
02777,81469
02779,89597
02780,53201
02790,80569
02791,74009
02802,51582
02804,92961
02806,117408
02807,76174
02808,76848
02809,65890
02812,123047
02813,72648
02814,93468
02815,214205
02816,67115
02817,102616
02818,97800
02822,80893
02825,79870
02826,70760
02827,87500
02828,79103
02830,67589
02831,91346
02832,85324
02833,84770
02835,105201
02836,
02837,69620
02838,60278
02839,49958
02840,65317
02841,
02842,65851
02852,83320
02857,82621
02858,
02859,76146
02860,40455
02861,55683
02863,30794
02864,81810
02865,77817
02871,91892
02872,
02873,73991
02874,133655
02875,100673
02876,21667
02878,75716
02879,79537
02881,80208
02882,65385
02885,55689
02886,70196
